x-axis,1,2,F1
second,Volt,Ampere,Watt
+220.40000E-03,+112.56281662E+00,-2.61306530E+00,-293.97583008E+00
+220.42500E-03,+116.33166093E+00,-2.57286429E+00,-289.45922852E+00
+220.45000E-03,+120.60301781E+00,-2.53266329E+00,-309.08203125E+00
+220.47500E-03,+120.60301781E+00,-2.49246228E+00,-305.26733398E+00
+220.50000E-03,+130.90452557E+00,-2.49246228E+00,-306.07604979E+00
+220.52500E-03,+132.91457587E+00,-2.45226128E+00,-315.27709961E+00
+220.55000E-03,+138.44221420E+00,-2.41206028E+00,-329.49829102E+00
+220.57500E-03,+144.47236509E+00,-2.37185927E+00,-324.17678833E+00
+220.60000E-03,+144.72362137E+00,-2.34296480E+00,-329.37812804E+00
+220.62500E-03,+144.72362137E+00,-2.31030148E+00,-337.24975586E+00
+220.65000E-03,+151.00502854E+00,-2.29145726E+00,-331.45141602E+00
+220.67500E-03,+152.76382256E+00,-2.25125626E+00,-349.69139100E+00
+220.70000E-03,+160.80402374E+00,-2.23994972E+00,-343.71948242E+00
+220.72500E-03,+160.80402374E+00,-2.19221103E+00,-347.05162047E+00
+220.75000E-03,+162.56281776E+00,-2.17085425E+00,-348.90747070E+00
+220.77500E-03,+168.84422493E+00,-2.16959797E+00,-366.36352539E+00
+220.80000E-03,+168.84422493E+00,-2.09045224E+00,-359.58862305E+00
+220.82500E-03,+176.88442612E+00,-2.09045224E+00,-369.59838867E+00
+220.85000E-03,+176.88442612E+00,-2.05025123E+00,-369.59838867E+00
+220.87500E-03,+184.92462730E+00,-2.05025123E+00,-378.93676758E+00
+220.90000E-03,+184.92462730E+00,-2.01005023E+00,-371.49047852E+00
+220.92500E-03,+192.96482849E+00,-1.99120601E+00,-380.08308409E+00
+220.95000E-03,+192.96482849E+00,-1.96984923E+00,-379.91333008E+00
+220.97500E-03,+201.00502968E+00,-1.92964822E+00,-387.66479492E+00
+221.00000E-03,+203.26633626E+00,-1.91834169E+00,-387.66479492E+00
+221.02500E-03,+209.04523087E+00,-1.88944722E+00,-383.38470460E+00
+221.05000E-03,+210.80402488E+00,-1.85804018E+00,-388.22555543E+00
+221.07500E-03,+217.08543205E+00,-1.84924621E+00,-401.21459961E+00
+221.10000E-03,+219.34673863E+00,-1.82035174E+00,-394.94132995E+00
+221.12500E-03,+225.12563324E+00,-1.78768842E+00,-407.07397461E+00
+221.15000E-03,+233.16583443E+00,-1.76884420E+00,-399.96910096E+00
