x-axis,F1
Hertz,decibel
+186.0000E+00,-99.32071E+00
+186.2500E+00,-89.00181E+00
+186.5000E+00,-89.16366E+00
+186.7500E+00,-86.72088E+00
+187.0000E+00,-89.78023E+00
+187.2500E+00,-79.00201E+00
+187.5000E+00,-79.00356E+00
+187.7500E+00,-83.31600E+00
+188.0000E+00,-82.53502E+00
+188.2500E+00,-85.98795E+00
+188.5000E+00,-83.14760E+00
+188.7500E+00,-75.44889E+00
+189.0000E+00,-77.70941E+00
+189.2500E+00,-87.02885E+00
+189.5000E+00,-82.99999E+00
+189.7500E+00,-77.58052E+00
+190.0000E+00,-79.52183E+00
+190.2500E+00,-84.74002E+00
+190.5000E+00,-79.13444E+00
+190.7500E+00,-77.93229E+00
+191.0000E+00,-81.76314E+00
+191.2500E+00,-76.47567E+00
+191.5000E+00,-76.51052E+00
+191.7500E+00,-88.01907E+00
+192.0000E+00,-79.75210E+00
+192.2500E+00,-85.25728E+00
+192.5000E+00,-79.00426E+00
+192.7500E+00,-80.03246E+00
